ACCT_ID,ACCT_ACTIVE_STATUS,ACCT_CURR_BAL,ACCT_CREDIT_LIMIT,ACCT_CASH_CREDIT_LIMIT,ACCT_OPEN_DATE,ACCT_EXPIRATION_DATE,ACCT_REISSUE_DATE,ACCT_CURR_CYC_CREDIT,ACCT_CURR_CYC_DEBIT,ACCT_ADDR_ZIP,ACCT_GROUP_ID
00000000010,Y,1500.00,5000.00,1500.00,2020-01-15,2025-01-15,2023-06-01,200.00,150.00,10001,GRP001
00000000011,Y,2500.50,10000.00,3000.00,2019-06-20,2024-06-20,2022-12-15,500.00,300.00,20002,GRP001
00000000012,N,0.00,5000.00,1500.00,2018-03-10,2023-03-10,2021-09-01,0.00,0.00,30003,GRP002
00000000013,Y,4200.75,15000.00,5000.00,2021-11-01,2026-11-01,2024-05-20,1000.00,750.00,40004,GRP002
00000000014,N,100.00,3000.00,1000.00,2017-08-25,2022-08-25,2020-02-10,50.00,25.00,50005,GRP003
00000000015,Y,8750.00,20000.00,6000.00,2022-02-14,2027-02-14,2025-08-01,2000.00,1500.00,60006,GRP003
00000000016,Y,3300.25,8000.00,2500.00,2020-07-04,2025-07-04,2023-01-15,800.00,600.00,70007,GRP001
00000000017,N,0.00,5000.00,1500.00,2016-12-01,2021-12-01,2019-06-01,0.00,0.00,80008,GRP004
00000000018,Y,12000.00,25000.00,8000.00,2023-04-10,2028-04-10,2026-10-01,3000.00,2500.00,90009,GRP004
00000000019,Y,500.00,5000.00,1500.00,2021-09-30,2026-09-30,2024-03-15,100.00,75.00,10010,GRP005
